comparison	variant	run	seconds
cache	unmodified	1	14.63
cache	unmodified	2	15.22
cache	unmodified	3	15.23
cache	unmodified	4	14.82
cache	unmodified	5	15.38
cache	fixed_inode_cache	1	8.08
cache	fixed_inode_cache	2	8.16
cache	fixed_inode_cache	3	7.97
cache	fixed_inode_cache	4	7.99
cache	fixed_inode_cache	5	7.97
stream_no_clone	cached_default	1	8.08
stream_no_clone	cached_default	2	8.16
stream_no_clone	cached_default	3	7.97
stream_no_clone	cached_default	4	7.99
stream_no_clone	cached_default	5	7.97
stream_no_clone	cached_no_clone	1	8.05
stream_no_clone	cached_no_clone	2	8.20
stream_no_clone	cached_no_clone	3	8.09
stream_no_clone	cached_no_clone	4	7.75
stream_no_clone	cached_no_clone	5	7.93
scalar_no_cache	control	1	16.33
scalar_no_cache	control	2	16.22
scalar_no_cache	control	3	16.54
scalar_no_cache	control	4	16.03
scalar_no_cache	control	5	15.79
scalar_no_cache	scalar_lookup	1	9.10
scalar_no_cache	scalar_lookup	2	8.99
scalar_no_cache	scalar_lookup	3	9.08
scalar_no_cache	scalar_lookup	4	8.30
scalar_no_cache	scalar_lookup	5	8.89
scalar_with_cache	control	1	9.81
scalar_with_cache	control	2	8.72
scalar_with_cache	control	3	9.47
scalar_with_cache	control	4	9.59
scalar_with_cache	control	5	9.50
scalar_with_cache	scalar_lookup	1	8.08
scalar_with_cache	scalar_lookup	2	8.05
scalar_with_cache	scalar_lookup	3	7.35
scalar_with_cache	scalar_lookup	4	6.92
scalar_with_cache	scalar_lookup	5	8.37
dir_item_with_cache_scalar	control_before	1	6.61
dir_item_with_cache_scalar	control_before	2	7.01
dir_item_with_cache_scalar	control_before	3	7.67
dir_item_with_cache_scalar	control_before	4	7.32
dir_item_with_cache_scalar	control_before	5	7.01
dir_item_with_cache_scalar	scalar_dir_item	1	4.92
dir_item_with_cache_scalar	scalar_dir_item	2	4.97
dir_item_with_cache_scalar	scalar_dir_item	3	4.88
dir_item_with_cache_scalar	scalar_dir_item	4	4.85
dir_item_with_cache_scalar	scalar_dir_item	5	4.79
dir_item_with_cache_scalar	control_after	1	6.44
dir_item_with_cache_scalar	control_after	2	6.57
dir_item_with_cache_scalar	control_after	3	6.57
dir_item_with_cache_scalar	control_after	4	6.51
dir_item_with_cache_scalar	control_after	5	6.66
first_ref_with_cache_scalars	control_before	1	4.71
first_ref_with_cache_scalars	control_before	2	4.71
first_ref_with_cache_scalars	control_before	3	4.40
first_ref_with_cache_scalars	control_before	4	4.85
first_ref_with_cache_scalars	control_before	5	4.49
first_ref_with_cache_scalars	scalar_first_ref	1	3.71
first_ref_with_cache_scalars	scalar_first_ref	2	3.68
first_ref_with_cache_scalars	scalar_first_ref	3	3.86
first_ref_with_cache_scalars	scalar_first_ref	4	3.34
first_ref_with_cache_scalars	scalar_first_ref	5	4.15
first_ref_with_cache_scalars	control_after	1	4.60
first_ref_with_cache_scalars	control_after	2	5.42
first_ref_with_cache_scalars	control_after	3	4.86
first_ref_with_cache_scalars	control_after	4	4.57
first_ref_with_cache_scalars	control_after	5	4.36
output_bound	control_before	1	3.60
output_bound	control_before	2	3.83
output_bound	control_before	3	4.24
output_bound	control_before	4	3.98
output_bound	control_before	5	4.05
output_bound	discard_commands	1	2.03
output_bound	discard_commands	2	2.04
output_bound	discard_commands	3	1.72
output_bound	discard_commands	4	2.34
output_bound	discard_commands	5	1.88
output_bound	control_after	1	4.39
output_bound	control_after	2	3.76
output_bound	control_after	3	3.78
output_bound	control_after	4	3.80
output_bound	control_after	5	4.44
compact_manifest	changed_paths	1	2.03
compact_manifest	changed_paths	2	2.16
compact_manifest	changed_paths	3	1.86
compact_manifest	changed_paths	4	2.17
compact_manifest	changed_paths	5	1.87
write_coalescing	control	1	5.01
write_coalescing	control	2	5.05
write_coalescing	control	3	4.69
write_coalescing	control	4	6.37
write_coalescing	control	5	6.32
write_coalescing	coalesced	1	3.20
write_coalescing	coalesced	2	2.66
write_coalescing	coalesced	3	2.56
write_coalescing	coalesced	4	3.21
write_coalescing	coalesced	5	2.77
cached_utimes	control_before	1	2.39
cached_utimes	control_before	2	2.55
cached_utimes	control_before	3	2.67
cached_utimes	control_before	4	3.42
cached_utimes	control_before	5	2.78
cached_utimes	cached_utimes	1	2.03
cached_utimes	cached_utimes	2	1.95
cached_utimes	cached_utimes	3	1.99
cached_utimes	cached_utimes	4	1.92
cached_utimes	cached_utimes	5	1.74
cached_utimes	control_after	1	2.09
cached_utimes	control_after	2	2.06
cached_utimes	control_after	3	2.24
cached_utimes	control_after	4	2.21
cached_utimes	control_after	5	2.37
